#fmp-capture-log,1
#device,label=xiaomi-wm,platform=android,model=Redmi Note 12,os=14,app_build=3,utc_offset_min=330
kind,ran_at,fix_at,accuracy_m,source,battery_pct,charging,power_save,permission,mode,event
E,1758031200000,,,,,,,,,watchdog_restart
S,1758031200000,,,none,73,0,0,background,wm,
S,1758032100000,1758032080893,42.2,current,72,0,0,background,wm,
S,1758033120000,1758033103209,41.5,current,72,0,1,background,wm,
S,1758034080000,1758034075343,196.4,current,71,0,1,background,wm,
S,1758035040000,1758035031212,33.1,current,71,0,1,background,wm,
S,1758035940000,1758035920292,58.1,current,70,0,0,background,wm,
S,1758036840000,1758036820181,10.6,current,70,0,0,background,wm,
S,1758037800000,1758037794853,6.6,current,69,0,0,background,wm,
S,1758038700000,1758038690628,33.8,current,69,0,0,background,wm,
S,1758039900000,1758028800000,51.2,last_known,68,0,0,background,wm,
S,1758040800000,1758037260000,48.9,last_known,68,0,0,background,wm,
S,1758041700000,1758041694617,5.2,current,67,0,0,background,wm,
S,1758042660000,1758042652811,25.5,current,67,0,0,background,wm,
S,1758044280000,1758044262286,42.8,current,78,1,0,background,wm,
S,1758045180000,1758045169682,18.3,current,84,1,0,background,wm,
S,1758046080000,,,none,90,1,0,background,wm,
S,1758046980000,1758046979420,46.8,current,97,1,1,background,wm,
S,1758048600000,1758048588120,30.5,current,100,1,0,background,wm,
S,1758050220000,1758050210856,36.0,current,100,1,0,background,wm,
S,1758051180000,1758051162727,34.8,current,100,1,0,background,wm,
S,1758052800000,1758052782292,5.5,current,100,1,0,background,wm,
S,1758053820000,,,none,100,1,0,background,wm,
S,1758054720000,1758047640000,34.0,last_known,100,1,0,background,wm,
S,1758055920000,1758055906103,48.3,current,100,1,0,background,wm,
S,1758057540000,1758057533394,18.2,current,100,1,0,background,wm,
S,1758058440000,1758058423063,39.2,current,100,1,0,background,wm,
S,1758059340000,1758059335476,38.2,current,100,1,0,background,wm,
S,1758060240000,1758060236563,5.2,current,100,1,0,background,wm,
S,1758061140000,1758061137477,36.6,current,100,1,0,background,wm,
S,1758062040000,1758062031904,56.4,current,100,1,0,background,wm,
S,1758062940000,1758062640000,57.1,last_known,100,1,0,background,wm,
S,1758064140000,1758064129531,128.6,current,100,1,0,background,wm,
S,1758065100000,1758065080301,53.4,current,100,1,0,background,wm,
S,1758066000000,1758053640000,21.6,last_known,100,1,0,background,wm,
S,1758066960000,1758066943821,327.0,current,100,1,0,background,wm,
S,1758067860000,1758067855550,42.0,current,100,1,0,background,wm,
S,1758068760000,1758068755538,54.1,current,100,1,0,background,wm,
S,1758069660000,1758069649383,22.6,current,100,1,0,background,wm,
S,1758071280000,1758071265377,54.5,current,99,0,0,background,wm,
S,1758072900000,1758072892838,38.6,current,98,0,0,background,wm,
S,1758073800000,1758073795268,36.1,current,97,0,0,background,wm,
E,1758074820000,,,,,,,,,boot_restart
S,1758080520000,1758080504428,46.6,current,93,0,0,background,wm,
S,1758081420000,1758081413591,21.2,current,93,0,0,background,wm,
S,1758082440000,1758082421499,52.5,current,92,0,0,background,wm,
S,1758083640000,1758076920000,24.0,last_known,92,0,0,background,wm,
S,1758085260000,1758085249080,5.6,current,91,0,0,background,wm,
S,1758086280000,1758071940000,57.1,last_known,90,0,0,background,wm,
S,1758087240000,1758087227048,25.1,current,90,0,0,background,wm,
S,1758088260000,1758088251356,20.9,current,89,0,0,background,wm,
S,1758089220000,1758089200239,36.4,current,89,0,0,background,wm,
S,1758090420000,1758080760000,20.8,last_known,88,0,0,background,wm,
S,1758091320000,1758091304194,49.2,current,87,0,0,background,wm,
S,1758092220000,1758092204624,30.4,current,87,0,0,background,wm,
S,1758093840000,1758093837572,53.0,current,86,0,0,background,wm,
S,1758095040000,1758095034761,27.5,current,85,0,0,background,wm,
S,1758095940000,1758095922656,56.5,current,85,0,0,background,wm,
S,1758096960000,1758096953159,49.9,current,84,0,0,background,wm,
S,1758098160000,1758098146800,9.8,current,84,0,0,background,wm,
S,1758099360000,1758099342210,19.7,current,83,0,0,background,wm,
S,1758100320000,,,none,82,0,0,background,wm,
S,1758101280000,1758101274610,53.3,current,82,0,1,background,wm,
S,1758102480000,1758102478922,21.7,current,81,0,0,background,wm,
S,1758103380000,1758103371682,57.6,current,81,0,0,background,wm,
S,1758104400000,1758099060000,44.3,last_known,80,0,0,background,wm,
S,1758105420000,1758105412765,173.9,current,80,0,0,background,wm,
S,1758106320000,1758106303038,54.3,current,79,0,0,background,wm,
S,1758107520000,1758107501089,54.4,current,78,0,0,background,wm,
S,1758108480000,,,none,78,0,0,background,wm,
